osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,aeroway,ele,gnis:feature_id,lit,name,opening_hours,ref,surface,website,wikidata,fixme,faa,note,source,alt_name,operator,aerodrome:type,iata,icao,operator:type,wikipedia,FAA:LFSN,building:part,height,location,start_date,layer,rooftop,landuse,gnis:ftype,operator:wikidata,phone
368396145,node,40.7360609,-74.0975866,,,,,NJ,,helipad,0,884797,,Kearny Helistop,,,,,Q34960490,location seems off,,,,,,,,,,,,,,,,,,,,,
368396250,node,40.7364982,-74.1770502,private,Newark,320,07102,NJ,University Avenue,helipad,9,884848,,Saint Benedicts Heliport,,,,,Q61675761,,,,,,,,,,,,,,,,,,,,,,
368396268,node,40.7399857,-74.1361049,,,,,NJ,,helipad,0,884852,,Albert Guido Memorial Heliport,,,,,Q61675758,,,,,,,,,,,,,,,,,,,,,,
368396315,node,40.8990225,-74.2292816,,,,,NJ,,helipad,70,884952,,Troop B Heliport,,,,,Q61675833,,,,,,,,,,,,,,,,,,,,,,
368396345,node,40.8506567,-74.0138888,,,,,NJ,,helipad,2,884912,,Pfister Helistop,,,,,Q35288696,,,,,,,,,,,,,,,,,,,,,,
368396353,node,40.8295088,-74.1209189,,,,,NJ,,helipad,5,884920,,Passaic River Seaplane Base,,,,,,,,,,,,,,,,,,,,,,,,,,,
368396429,node,40.8862108,-73.9906999,,,,,NJ,,helipad,2,884975,,Graphic Scanning Corporation Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
369042139,node,40.7194444,-73.5827778,,,,,NY,,helipad,41,975803,,EAB Plaza Heliport,,,,,Q61676484,,,,,,,,,,,,,,,,,,,,,,
369042349,node,41.1165284,-73.7155233,,,,,NY,,helipad,142,977897,,Old Orchard Road Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
369042998,node,40.8600952,-73.5956873,,,,,NY,,helipad,47,978036,,Merrill Glen Cove Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
369043424,node,40.8837095,-73.4906778,,,,,NY,,helipad,1,977973,,Cove Neck Heliport,,,,,Q61676139,,,,,,,,,,,,,,,,,,,,,,
369043640,node,40.610935,-73.4317908,,,,,NY,,helipad,1,978136,,Tobay Beach Park Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
369043872,node,40.8839221,-73.4230288,,,,,NY,,helipad,3,978080,,Huntington Emergency Helistop,,,,,,,,,,,,,,,,,,,,,,,,,,,
369044855,node,40.8423224,-73.7006858,,,,,NY,,helipad,10,978239,,Thomson Industries Incorporated Heliport,,,,,Q61676387,,,,,,,,,,,,,,,,,,,,,,
369045058,node,41.1158236,-74.1354702,,,,,NY,,helipad,,978328,,Ciba-Geigy Heliport,,,,,Q61676472,,NK73,,,,,,,,,,,,,,,,,,,,
1042143094,node,41.049444,-73.738333,,,,,,,helipad,,,,Massaro Heliport,,,,,,,,,ourairports.com,,,,,,,,,,,,,,,,,,
1042150288,node,40.7420998,-73.4213028,,,,,,,helipad,,,,One Ten Heliport,,,,,,,,,ourairports.com,,,,,,,,,,,,,,,,,,
1927135878,node,40.6134764,-74.2441327,,,,,,,helipad,,,,Core Helicopters,,,,,,,,,,Core Heli,,,,,,,,,,,,,,,,,
1939334663,node,41.1026584,-73.7255538,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939334848,node,41.102797,-73.7250995,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394011221,node,40.5960544,-73.4990693,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920944396,node,40.644548,-74.0298887,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6315359979,node,40.6000565,-73.5039751,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7833638866,node,40.6051839,-74.0217491,,,,,,,helipad,,,,Taylor Field Heliport at Fort Hamilton,,93NY,grass,,Q61676080,,,,,,United States Army Reserve,,,,,,,,,,,,,,,,
8256402787,node,41.0575682,-74.1829043,,,,,,,helipad,,,no,Bergen County Police & Fire Academy Heliport,,,grass,,Q61675723,,21NJ,,,,,,,,,,,,,,,,,,,,
119777079,way,40.7752222,-73.6998507,,,,,,,helipad,,978130,,North Shore University Hospital Nr 2 Heliport,,,asphalt,,,,6NK3,,,,,,,,,,,,,,,,,,,,
133114527,way,41.0464474,-73.9536622,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160901442,way,40.7012417,-74.0085897,,New York,,,NY,,heliport,1,,,Downtown Manhattan Heliport,,,,https://www.downtownmanhattanheliport.com/,Q1575175,,JRB,,,Downtown Manhattan/Wall St. Heliport,New York City Economic Development Corporation,public,JRB,KJRB,public,en:Downtown Manhattan Heliport,,,,,,,,,,,
193816239,way,40.7686925,-74.0651295,,,,,,,helipad,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,
309652372,way,40.5336035,-74.2977781,,,,,,,helipad,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309748980,way,40.5907031,-73.8795786,,,,,,,helipad,,,,NYPD Helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,
327972264,way,41.1445455,-73.4285229,,,,,,,helipad,41,213097,yes,The Towers (Merritt 7) Helistop,,,concrete,,Q35280043,FAA data shows two helipads (H1 and H2). Not sure where H2 is or if it is a mistake in their data.,9CT1,,,,,,,,,,02865.14*H,yes,37.78,roof,2010-06,,,,,,
397787273,way,41.112107,-73.4225292,,,,,,,helipad,,,yes,Norwalk Hospital Heliport,,5CT4,asphalt,,Q61671676,,,,,,Norwalk Hospital,,,,,,,,,,,4,,,,,
402501583,way,41.1105701,-74.135665,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415422118,way,40.7007215,-74.008564,,,,,,,helipad,,,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,
424128246,way,40.7781105,-73.7018858,,,,,,,helipad,,,,North Shore University Hospital Heliport,,,,,,,7NY3,,,,,,,,,,,,,,,,yes,,,,
442007997,way,41.0815939,-73.7129906,,,,,,,helipad,,978370,,Safe Flight Instrument Corporation Heliport,,,concrete,,Q61676519,,NK84,,,,,,,,,,,,,,,,yes,,,,
450680627,way,40.8870589,-73.5208023,private,,,,,,helipad,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
474999494,way,40.815774,-74.070181,private,,,,,,helipad,,,,Meadowlands #2 NJ Sports Complex,,,,,,,0NJ5,,,,New Jersey Sports and Exposition Authority,,,,,,,,,,,,,,,,
475019345,way,40.8152343,-74.0870551,private,,,,,,helipad,,,,Meadowlands Sports Complex,,,asphalt,,,,,,,,New Jersey Sports and Exposition Authority,,,,,,,,,,,,,,,,
476012543,way,40.7543761,-74.0074365,,,,,,,helipad,,,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,
476012544,way,40.7545281,-74.0073264,,,,,,,helipad,,,,,,H2,,,,,,,,,,,,,,,,,,,,,,,,,
476012545,way,40.7549535,-74.0070352,,,,,,,helipad,,,,,,H3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
476012546,way,40.7551156,-74.0069015,,,,,,,helipad,,,,,,H4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
476012547,way,40.7552726,-74.0067889,,,,,,,helipad,,,,,,H5,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
476012548,way,40.7554277,-74.0066814,,,,,,,helipad,,,,,,H6,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
476230881,way,40.7044123,-74.1680638,,,,,,,helipad,,,,Newark Airport Helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,
478361119,way,41.1731013,-74.035773,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484372595,way,40.9035023,-74.1654976,,,,,,,helipad,,,,,,,concrete,,Q61675776,,03NJ,,,,,,,,,,,,,,,,yes,,,,
484449071,way,40.7920141,-74.0722784,,,,,,,helipad,,884928,,Meadowlands Hospital Medical Center Heliport,,,asphalt,,Q61675815,,41NJ,,,,,,,,,,,,,,,,,,,,
484450068,way,40.7936686,-73.994867,,,,,,,helipad,,884867,,Palisades Medical Center Heliport,,,asphalt,,Q61675769,,07NJ,,,,,,,,,,,,,,,,,,,,
525008795,way,40.8538573,-73.969559,,,,,NJ,,helipad,86,884747,,George Washington Bridge Heliport,,,,,Q61675661,,,,,,,,,,,,,,,,,1,,,,,
540077239,way,40.7408693,-74.1908686,,,,,,,helipad,,884853,,University Hospital Rooftop Heliport,,,concrete,,Q61675762,,NJ87,,,,,,,,,,,,,,,,yes,,,,
544168910,way,40.883768,-74.0564369,,,,,,,helipad,,884767,,Emil Buehler Helipad,,,,,Q61675684,,NJ22,,,,,,,,,,,,,,,,yes,,,,
555389303,way,41.0849123,-73.8053477,,,,,,,helipad,,,,Westchester Medical Center Heliport,,H1,metal,,,,7NK8,,,,,,,,,,,,,,,,,,,,
560862635,way,41.0850153,-73.8060305,,,,,,,helipad,,,,Westchester Medical Center Heliport,,H2,asphalt,,,,7NK8,,,,,,,,,,,,,,,,,,,,
561363884,way,40.7264617,-73.5527472,,,,,,,helipad,,978061,,Medical Center,,,concrete,,Q61723755,,0NK4,,,,,,,,,,,,,,,,,,,,
561543527,way,40.5842047,-74.0832631,,,,,,,helipad,,,yes,Staten Island University Hospital Heliport,,NY52,concrete,,Q61676467,,NY52,,,,Staten Island University Hospital,,,,,,,,,,,,,,,,
596103801,way,40.9843037,-74.0153963,,,,,,,helipad,,,,Westwood Heliport,,,,,,,,,ourairports.com,,,,,,,,,,,,,,,,,,
624141715,way,40.6445466,-74.0298867,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626559472,way,40.6572775,-73.7801572,,,,,,,helipad,,,,HELIPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
710253816,way,40.7760184,-73.8809659,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817951046,way,40.5861697,-73.8083683,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839470502,way,40.7420944,-73.9721416,,,,,,,helipad,,,,,,H1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
839470503,way,40.7422452,-73.9721174,,,,,,,helipad,,,,,,H2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
839470504,way,40.7423974,-73.9720619,,,,,,,helipad,,,,,,H3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
839470505,way,40.7425473,-73.9719942,,,,,,,helipad,,,,,,H4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
839473956,way,40.7557752,-74.006733,,,,,,,helipad,,,,H-A,,H8,,,,,,,,,,,,,,,,,,,,,,,,,
839473957,way,40.7558593,-74.006941,,,,,,,helipad,,,,H-B,,H9,,,,,,,,,,,,,,,,,,,,,,,,,
839473958,way,40.7559492,-74.0071304,,,,,,,helipad,,,,H-C,,H10,,,,,,,,,,,,,,,,,,,,,,,,,
839473959,way,40.7560239,-74.0072999,,,,,,,helipad,,,,H-D,,H11,,,,,,,,,,,,,,,,,,,,,,,,,
839479395,way,40.5903366,-73.8817866,,,,,,,helipad,,,,,,H1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,
839815129,way,41.042745,-73.5308882,,,,,,,helipad,,,yes,Canal Street Heliport,,5CT8,asphalt,,Q61671692,,,,,,,,,,,,,,,,,,,,,,
880111765,way,40.8540954,-73.8459817,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888038172,way,40.7455467,-73.4907623,,,,,,,helipad,,,yes,,,H1,concrete,,,,,,,,,,,,,,,,,,,,,,,,
917165430,way,40.8423457,-73.7009842,,,,,,,helipad,,,,"Thomson Industries, Inc. Helliport",,9NY8,,,,,,,,,,,,,,,,,,,,,,grass,,,
984091593,way,40.7307939,-74.116907,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091594,way,40.730536,-74.1169623,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091595,way,40.7303748,-74.1169958,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091596,way,40.7302107,-74.117034,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091597,way,40.7300479,-74.1170717,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091598,way,40.7298856,-74.1171056,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091599,way,40.7309702,-74.1168665,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091600,way,40.7311498,-74.116828,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091601,way,40.7313285,-74.1167902,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984091602,way,40.7315011,-74.1166321,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984713084,way,40.7378282,-74.1186627,,,,,,,helipad,0,884851,,Essex Generating Station Heliport,,,,,Q61675759,,,,,,,,,,,,,,,,,,,,Airport,,
1009393566,way,40.7247324,-73.4154015,,,,,,,helipad,,,,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009396621,way,40.7331806,-73.4157168,,,,,,,helipad,,,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,
1083321780,way,40.6291842,-74.1817713,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096155616,way,41.1041776,-74.163594,,,,,NJ,,helipad,86,884820,,International Crossroads Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138031166,way,41.1128053,-73.8628405,,,,,,,helipad,47,978191,,Regeneron Mount Pleasant Heliport,,,asphalt,,,,,,,,Regeneron,,,,,,,,,,,,,,,,
1150488310,way,41.102666,-73.7255496,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150488311,way,41.1028017,-73.7250972,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224653327,way,40.8381498,-74.1785894,,,,,,,helipad,,,yes,State Police Bloomfield Heliport,,,concrete,,Q61675594,,NJ12,,ourairports.com,,,,,,,,,,,,,,,,,,
1230376426,way,40.9069187,-73.5161109,private,,,,,,helipad,,,,Johanson Estate Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233114869,way,40.9811169,-74.2529679,,Wayne,1,07470,NJ,Geoffrey Way,helipad,117,884971,,Wayne Office Helistop,,,,,Q35317907,,,,,,,,,,,,,,,,,,,,,,
1239630348,way,40.7122409,-74.001719,,New York,,10013,NY,,helipad,6,978172,yes,One Police Plaza Helipad,,,concrete,,,,NK39,,,,New York City Police Department,,,,,,,,,,,,,,,,
1239630403,way,40.713404,-74.0320245,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239630524,way,40.6981998,-74.0724657,,,,,,,helipad,,,,Liberty National Helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240219612,way,40.7820574,-73.8261072,,,,,NY,,helipad,6,978371,,Landmark Plaza Heliport,,,,,Q61676520,,,,,,,,,,,,,,,,,1,,,,,
1240219776,way,40.6494597,-73.8096633,,,,,,,helipad,,,,HELIPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240219777,way,40.6496369,-73.810514,,,,,,,helipad,,,,HELIPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240219878,way,40.7131909,-73.7157522,,,,,NY,,helipad,21,978007,,Belmont Park Heliport,,,,,Q61676169,,,,,,,,,,,,,,,,,,,,,,
1240394115,way,41.0191411,-73.9181435,,,,,NY,,helipad,56,978205,,IBM Customer Executive Education Center Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240394222,way,41.0778789,-74.0248168,,,,,,,helipad,,,,Wyeth Ayerst Heliport,,,,,Q61676372,,,,ourairports.com,,,,,,,,,,,,,,,,,,
1250581951,way,40.4699988,-74.0097186,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257197060,way,41.1472591,-73.8693165,,,,,NY,,helipad,3,978209,,TLI Heliport,,,,,Q61676363,,,,,,,,,,,,,,,,,,,,,,
1257197099,way,41.1878187,-73.8681664,,,,,NY,,helipad,61,978208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258544459,way,40.8750299,-74.0356341,,,,,NJ,,helipad,1,884766,,Creamer Heliport,,,,,Q61675682,,,,,,,,,,,,,,,,,,,,,,
1260637276,way,40.6095624,-74.2601093,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260637277,way,40.6092456,-74.2600123,,,,,,,helipad,,,,Merck and Company Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269178206,way,40.8898329,-73.4916669,private,,,,,,helipad,,,,Wang Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270867794,way,40.7596702,-73.4964903,,,,,,,helipad,,,,Cablevision Bethpage Heliport,,,,,Q61676061,,,,ourairports.com,,,,,,,,,,,,,,,,,,
1270867795,way,40.7596075,-73.4970556,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270867867,way,40.8046956,-73.489595,,,,,,,helipad,,,,Ch 12 News Woodbury Heliport,,,,,Q61676526,,,,ourairports.com,,,,,,,,,,,,,,,,,,
1283704043,way,40.8578827,-73.4706755,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284528318,way,40.7646311,-74.0226161,private,,,,NJ,,helipad,10,884972,,Lincoln Tunnel Heliport,,H1,asphalt,,Q61675857,,,,bing,,Port Authority of New York and New Jersey,,,,government,,,,,,1960-08,,,,,Q908666,+1-201-288-2761
1305326597,way,40.8045757,-73.4895505,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328628179,way,40.8983461,-73.5185506,private,,,,,,helipad,,,,Kleinman's Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328628180,way,40.9140958,-73.5206193,,,,,,,helipad,,,,Clive Holmes Estate Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349332478,way,40.7332773,-74.1719619,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349493397,way,40.7357545,-74.1682502,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406883787,way,40.6642042,-74.0896149,private,,,,,,helipad,,,,Bayonne Golf Club Helipad,,2NJ9,concrete,,,,,,,,"EMPIRE GOLF PROPERTIES, LLC",,,,,,,,,,,,,,,,
1407094851,way,40.7244231,-74.0297702,private,,,,,,helipad,,,,Newport Helistop Heliport,,91NJ,concrete,,,,,,,,NEWPORT HELIPAD LLC,,,,,,,,,,,,,,,,
1421202532,way,40.7335272,-74.1591365,,,,,,,helipad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479456758,way,40.8151323,-74.0871829,private,,,,,,heliport,,,,,,,,,,,,,,,New Jersey Sports and Exposition Authority,,,,,,,,,,,,,,,,
1479456760,way,40.8157078,-74.0702424,private,,,,,,heliport,,,,Meadowlands #2 NJ Sports Complex,,,,,,,0NJ5,,,,New Jersey Sports and Exposition Authority,,,,,,,,,,,,,,,,
